arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_mem32K_40nm.xml	blob_merge.v	common	35.90	parmys	288.79 MiB		-1	-1	8.22	295720	7	9.93	-1	-1	61284	-1	-1	716	36	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	202012	36	100	6840	6940	1	3421	852	34	34	1156	clb	auto	82.1 MiB	1.48	51883	372256	111649	238581	22026	197.3 MiB	3.47	0.04	5.56878	-2170.67	-5.56878	5.56878	0.25	0.0060706	0.00482687	0.635109	0.524064	-1	66877	20	6.50233e+07	3.85883e+07	1.88769e+07	16329.5	1.15	1.14968	0.990506	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	blob_merge.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	35.62	parmys	288.73 MiB		-1	-1	7.76	295660	7	10.02	-1	-1	61284	-1	-1	716	36	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	202180	36	100	6840	6940	1	3421	852	34	34	1156	clb	auto	82.4 MiB	1.50	51883	372256	111649	238581	22026	197.4 MiB	3.49	0.03	5.56878	-2170.67	-5.56878	5.56878	0.26	0.00601411	0.0048524	0.64069	0.528167	-1	66877	20	6.50233e+07	3.85883e+07	1.88769e+07	16329.5	1.14	1.14616	0.985871	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common	17.96	vpr	128.38 MiB		-1	-1	2.69	70156	27	3.62	-1	-1	44792	-1	-1	298	385	2	1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	131460	385	394	3884	4215	1	2363	1080	27	27	729	io	auto	52.9 MiB	0.88	32346	604831	219280	360250	25301	128.4 MiB	2.94	0.03	12.7316	-12093.6	-12.7316	12.7316	0.14	0.00561368	0.00498825	0.657587	0.584791	-1	42274	37	3.93038e+07	1.75524e+07	1.16794e+07	16021.1	1.52	1.17581	1.06592	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	18.01	vpr	128.48 MiB		-1	-1	2.68	69104	27	3.56	-1	-1	44792	-1	-1	298	385	2	1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	131560	385	394	3884	4215	1	2363	1080	27	27	729	io	auto	53.1 MiB	0.89	32346	604831	219280	360250	25301	128.5 MiB	2.97	0.03	12.7316	-12093.6	-12.7316	12.7316	0.14	0.00586271	0.00524806	0.6715	0.598685	-1	42274	37	3.93038e+07	1.75524e+07	1.16794e+07	16021.1	1.55	1.20949	1.09851	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	38.96	vpr	340.54 MiB		-1	-1	6.33	126384	5	2.60	-1	-1	60000	-1	-1	495	506	47	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	348708	506	553	3055	3608	1	2783	1601	50	50	2500	memory	auto	50.8 MiB	1.96	15314	1190575	574330	423211	193034	340.5 MiB	2.76	0.03	7.13238	-1827.92	-7.13238	7.13238	0.67	0.00863657	0.00790955	1.17869	1.06648	-1	20647	13	1.47946e+08	5.24342e+07	4.18713e+07	16748.5	2.21	1.55424	1.42243	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	39.24	vpr	340.28 MiB		-1	-1	6.39	126488	5	2.62	-1	-1	60000	-1	-1	495	506	47	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	348444	506	553	3055	3608	1	2783	1601	50	50	2500	memory	auto	50.8 MiB	1.94	15314	1190575	574330	423211	193034	340.3 MiB	2.75	0.03	7.13238	-1827.92	-7.13238	7.13238	0.67	0.00879233	0.0079397	1.17526	1.06316	-1	20647	13	1.47946e+08	5.24342e+07	4.18713e+07	16748.5	2.23	1.55433	1.42246	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common	8.83	vpr	77.50 MiB		-1	-1	2.18	48168	8	0.85	-1	-1	41056	-1	-1	165	235	1	6	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	79364	235	305	2594	2755	1	1461	712	19	19	361	io	auto	40.1 MiB	0.51	11985	286732	95398	178485	12849	77.5 MiB	1.11	0.01	4.58767	-2572.37	-4.58767	4.58767	0.05	0.00282892	0.00251491	0.279471	0.247613	-1	17089	21	1.72706e+07	1.18165e+07	5.52167e+06	15295.5	1.03	0.456529	0.412228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	8.76	vpr	77.49 MiB		-1	-1	2.17	48168	8	0.85	-1	-1	41056	-1	-1	165	235	1	6	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	79348	235	305	2594	2755	1	1461	712	19	19	361	io	auto	39.8 MiB	0.51	11985	286732	95398	178485	12849	77.5 MiB	1.09	0.01	4.58767	-2572.37	-4.58767	4.58767	0.05	0.00281652	0.00248329	0.279276	0.247002	-1	17089	21	1.72706e+07	1.18165e+07	5.52167e+06	15295.5	1.03	0.454401	0.409901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	9.96	vpr	79.24 MiB		-1	-1	2.97	57416	7	1.89	-1	-1	41292	-1	-1	173	193	5	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	81144	193	205	2152	2357	1	1192	576	20	20	400	memory	auto	37.8 MiB	0.46	9735	232891	79620	127831	25440	79.2 MiB	0.84	0.01	4.59772	-2704.5	-4.59772	4.59772	0.07	0.00214142	0.00183406	0.236392	0.20225	-1	13127	18	2.07112e+07	1.20637e+07	6.15307e+06	15382.7	0.29	0.370889	0.325994	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	9.97	vpr	79.24 MiB		-1	-1	2.97	57524	7	1.89	-1	-1	41292	-1	-1	173	193	5	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c083.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part1	81140	193	205	2152	2357	1	1192	576	20	20	400	memory	auto	37.8 MiB	0.45	9735	232891	79620	127831	25440	79.2 MiB	0.84	0.01	4.59772	-2704.5	-4.59772	4.59772	0.07	0.00214566	0.00183902	0.239378	0.204631	-1	13127	18	2.07112e+07	1.20637e+07	6.15307e+06	15382.7	0.29	0.373674	0.328268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
