arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
k6_N10_mem32K_40nm.xml	blob_merge.v	common	success	66877	15.81	716	-1	-1	
k6_N10_mem32K_40nm.xml	blob_merge.v	common	success	66877	15.91	716	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common	success	42274	10.93	298	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common	success	42274	11.05	298	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	success	20647	28.64	495	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	success	20647	28.82	495	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common	success	17089	5.33	165	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common	success	17089	5.28	165	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	13127	4.51	173	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	13127	4.48	173	-1	-1	
k6_N10_mem32K_40nm.xml	sha.v	common	success	12772	3.71	168	-1	-1	
k6_N10_mem32K_40nm.xml	sha.v	common	success	12772	3.70	168	-1	-1	
k6_N10_mem32K_40nm.xml	spree.v	common	success	9303	2.72	77	-1	-1	
k6_N10_mem32K_40nm.xml	spree.v	common	success	9303	2.71	77	-1	-1	
k6_N10_mem32K_40nm.xml	mkPktMerge.v	common	success	11734	8.76	32	-1	-1	
k6_N10_mem32K_40nm.xml	mkPktMerge.v	common	success	11734	8.72	32	-1	-1	
k6_N10_mem32K_40nm.xml	boundtop.v	common	success	3650	2.09	63	-1	-1	
k6_N10_mem32K_40nm.xml	boundtop.v	common	success	3650	2.08	63	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq1.v	common	success	7879	2.54	52	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq1.v	common	success	7879	2.55	52	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq2.v	common	success	6044	2.21	33	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq2.v	common	success	6044	2.20	33	-1	-1	
k6_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	842	1.08	69	-1	-1	
k6_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	842	1.09	69	-1	-1	
k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	160	0.24	12	-1	-1	
k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	160	0.24	12	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	blob_merge.v	common	success	70758	22.39	457	-1	-1	
