arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_40nm_1.xml	clma.blif	common	98.21	vpr	147.56 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	646	62	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	151100	62	82	6320	6402	1	3804	790	28	28	784	clb	auto	78.2 MiB	1.82	53282	311040	96358	205597	9085	115.1 MiB	3.40	0.04	10.2249	-442.91	-10.2249	10.2249	1.69	0.00651919	0.0052518	0.624711	0.521316	70	61350	40	3.64324e+07	3.48156e+07	6.36788e+06	8122.30	83.31	4.92232	4.21156	170664	865252	-1	52551	27	30064	145537	8629692	1751776	10.4829	10.4829	-470.418	-10.4829	0	0	8.13172e+06	10372.1	0.89	2.13	0.54	-1	-1	0.89	0.642091	0.577927	
k6_N10_40nm_1.xml	clma.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	96.69	vpr	147.60 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	646	62	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	151144	62	82	6320	6402	1	3804	790	28	28	784	clb	auto	78.2 MiB	1.80	53282	311040	96358	205597	9085	113.6 MiB	3.38	0.04	10.2249	-442.91	-10.2249	10.2249	1.71	0.00636561	0.00512112	0.62338	0.520187	70	61350	40	3.64324e+07	3.48156e+07	6.36788e+06	8122.30	81.84	4.89879	4.19124	170664	865252	-1	52551	27	30064	145537	8629692	1751776	10.4829	10.4829	-470.418	-10.4829	0	0	8.13172e+06	10372.1	0.89	2.11	0.54	-1	-1	0.89	0.63706	0.573156	
k6_N10_40nm_1.xml	elliptic.blif	common	25.17	vpr	78.87 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	131	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	80760	131	114	3386	3500	1	1280	471	18	18	324	clb	auto	41.9 MiB	0.65	13731	132303	39247	86428	6628	78.9 MiB	0.90	0.01	8.10068	-4348.28	-8.10068	8.10068	0.58	0.00282012	0.00225942	0.234907	0.193533	50	18303	48	1.37969e+07	1.218e+07	1.76052e+06	5433.69	20.32	1.48582	1.24919	51712	235648	-1	15021	22	8604	44589	2815253	563786	8.36191	8.36191	-4737.62	-8.36191	0	0	2.25358e+06	6955.48	0.24	0.58	0.13	-1	-1	0.24	0.21528	0.193984	
k6_N10_40nm_1.xml	elliptic.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	25.12	vpr	79.00 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	131	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	80892	131	114	3386	3500	1	1280	471	18	18	324	clb	auto	41.8 MiB	0.65	13731	132303	39247	86428	6628	79.0 MiB	0.91	0.01	8.10068	-4348.28	-8.10068	8.10068	0.58	0.00282841	0.00227217	0.2339	0.19277	50	18303	48	1.37969e+07	1.218e+07	1.76052e+06	5433.69	20.22	1.47693	1.24338	51712	235648	-1	15021	22	8604	44589	2815253	563786	8.36191	8.36191	-4737.62	-8.36191	0	0	2.25358e+06	6955.48	0.24	0.58	0.13	-1	-1	0.24	0.214456	0.193625	
k6_N10_40nm_1.xml	ex1010.blif	common	40.77	vpr	86.51 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339	10	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88584	10	10	3103	3113	0	1500	359	21	21	441	clb	auto	48.4 MiB	0.95	24462	83234	23742	57003	2489	85.2 MiB	1.01	0.01	8.61481	-83.1529	-8.61481	nan	0.85	0.00318435	0.00256357	0.247942	0.207865	62	33451	43	1.94557e+07	1.82701e+07	3.05638e+06	6930.57	33.88	2.04629	1.72468	83942	407675	-1	27456	22	13516	86717	6512242	1081461	8.87593	nan	-85.9426	-8.87593	0	0	3.83842e+06	8703.89	0.41	1.07	0.24	-1	-1	0.41	0.262892	0.238472	
k6_N10_40nm_1.xml	ex1010.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	41.73	vpr	85.93 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339	10	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	87988	10	10	3103	3113	0	1500	359	21	21	441	clb	auto	48.0 MiB	0.94	24462	83234	23742	57003	2489	84.9 MiB	1.00	0.01	8.61481	-83.1529	-8.61481	nan	0.84	0.00317993	0.00256665	0.24628	0.206396	62	33451	43	1.94557e+07	1.82701e+07	3.05638e+06	6930.57	34.84	2.05148	1.72851	83942	407675	-1	27456	22	13516	86717	6512242	1081461	8.87593	nan	-85.9426	-8.87593	0	0	3.83842e+06	8703.89	0.41	1.07	0.24	-1	-1	0.41	0.260055	0.236008	
k6_N10_40nm_1.xml	frisc.blif	common	39.00	vpr	86.05 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	306	20	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88116	20	116	3834	3950	1	1632	442	20	20	400	clb	auto	48.9 MiB	0.90	24533	136765	40264	88259	8242	86.1 MiB	1.31	0.02	8.60247	-4677.21	-8.60247	8.60247	0.75	0.00335914	0.00266612	0.311778	0.255701	70	32725	37	1.74617e+07	1.64916e+07	3.08980e+06	7724.51	32.24	2.05501	1.71565	83880	419396	-1	27108	19	11812	64031	4877547	1133744	8.94379	8.94379	-5039.12	-8.94379	0	0	3.94470e+06	9861.76	0.41	0.85	0.26	-1	-1	0.41	0.250766	0.227484	
k6_N10_40nm_1.xml	frisc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	38.70	vpr	86.06 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	306	20	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88124	20	116	3834	3950	1	1632	442	20	20	400	clb	auto	48.9 MiB	0.90	24533	136765	40264	88259	8242	86.1 MiB	1.30	0.02	8.60247	-4677.21	-8.60247	8.60247	0.75	0.00333313	0.00264272	0.30902	0.253191	70	32725	37	1.74617e+07	1.64916e+07	3.08980e+06	7724.51	31.95	2.04423	1.70773	83880	419396	-1	27108	19	11812	64031	4877547	1133744	8.94379	8.94379	-5039.12	-8.94379	0	0	3.94470e+06	9861.76	0.41	0.86	0.25	-1	-1	0.41	0.251135	0.227407	
k6_N10_40nm_1.xml	pdc.blif	common	36.11	vpr	95.58 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	385	16	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	97876	16	40	3645	3685	0	1856	441	22	22	484	clb	auto	54.4 MiB	1.02	26399	117901	35931	77977	3993	90.9 MiB	1.31	0.02	8.58965	-307.573	-8.58965	nan	0.94	0.00386692	0.0031026	0.313628	0.262506	60	34086	48	2.15576e+07	2.07492e+07	3.26931e+06	6754.78	28.06	2.61198	2.20353	90960	440564	-1	27968	24	14648	87565	4626119	887396	8.75514	nan	-318.118	-8.75514	0	0	4.15623e+06	8587.25	0.80	1.05	0.26	-1	-1	0.80	0.336291	0.303383	
k6_N10_40nm_1.xml	pdc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	36.11	vpr	94.90 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	385	16	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	97176	16	40	3645	3685	0	1856	441	22	22	484	clb	auto	54.1 MiB	1.02	26399	117901	35931	77977	3993	91.0 MiB	1.31	0.02	8.58965	-307.573	-8.58965	nan	0.94	0.00383756	0.00311128	0.31491	0.26356	60	34086	48	2.15576e+07	2.07492e+07	3.26931e+06	6754.78	28.03	2.6408	2.22244	90960	440564	-1	27968	24	14648	87565	4626119	887396	8.75514	nan	-318.118	-8.75514	0	0	4.15623e+06	8587.25	0.80	1.05	0.26	-1	-1	0.80	0.337341	0.304265	
