arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_40nm_1.xml	clma.blif	common	59.39	vpr	130.03 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	646	62	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	133148	62	82	6320	6402	1	3804	790	28	28	784	clb	auto	78.2 MiB	1.81	52911	281840	83979	189437	8424	115.1 MiB	3.10	0.04	7.58397	-304.88	-7.58397	7.58397	1.76	0.00651692	0.00517312	0.578516	0.482495	78	76847	47	3.64324e+07	3.48156e+07	4.08425e+06	5209.50	44.67	4.37604	3.67144	81428	859794	-1	68534	37	28694	130617	6067081	750086	7.97406	7.97406	-347.501	-7.97406	0	0	5.14805e+06	6566.39	1.34	1.77	0.47	-1	-1	1.34	0.78857	0.696786	
k6_N10_40nm_1.xml	clma.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	58.95	vpr	130.07 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	646	62	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	133192	62	82	6320	6402	1	3804	790	28	28	784	clb	auto	78.2 MiB	1.80	52911	281840	83979	189437	8424	113.6 MiB	3.12	0.04	7.58397	-304.88	-7.58397	7.58397	1.75	0.00644524	0.00515385	0.584001	0.488367	78	76847	47	3.64324e+07	3.48156e+07	4.08425e+06	5209.50	44.23	4.26599	3.63083	81428	859794	-1	68534	37	28694	130617	6067081	750086	7.97406	7.97406	-347.501	-7.97406	0	0	5.14805e+06	6566.39	1.34	1.72	0.47	-1	-1	1.34	0.763304	0.680034	
k6_N10_40nm_1.xml	elliptic.blif	common	13.86	vpr	78.87 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	131	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	80760	131	114	3386	3500	1	1280	471	18	18	324	clb	auto	41.9 MiB	0.65	13653	126810	35458	85616	5736	78.9 MiB	0.86	0.01	6.87615	-3429.48	-6.87615	6.87615	0.64	0.00273774	0.00225387	0.229668	0.189938	58	24680	47	1.37969e+07	1.218e+07	1.23881e+06	3823.48	8.87	1.82009	1.52821	29168	251432	-1	20486	27	8420	43024	1907558	257428	7.91779	7.91779	-4146.64	-7.91779	0	0	1.57021e+06	4846.34	0.39	0.49	0.13	-1	-1	0.39	0.241235	0.215788	
k6_N10_40nm_1.xml	elliptic.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	13.83	vpr	79.00 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	131	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	80892	131	114	3386	3500	1	1280	471	18	18	324	clb	auto	41.8 MiB	0.65	13653	126810	35458	85616	5736	79.0 MiB	0.86	0.01	6.87615	-3429.48	-6.87615	6.87615	0.64	0.00276687	0.00228789	0.231298	0.190831	58	24680	47	1.37969e+07	1.218e+07	1.23881e+06	3823.48	8.85	1.80344	1.51933	29168	251432	-1	20486	27	8420	43024	1907558	257428	7.91779	7.91779	-4146.64	-7.91779	0	0	1.57021e+06	4846.34	0.39	0.49	0.13	-1	-1	0.39	0.24086	0.215295	
k6_N10_40nm_1.xml	ex1010.blif	common	23.92	vpr	85.22 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339	10	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	87264	10	10	3103	3113	0	1500	359	21	21	441	clb	auto	48.4 MiB	0.95	24671	73034	19608	51323	2103	85.2 MiB	0.88	0.01	5.99013	-56.5153	-5.99013	nan	0.92	0.00316731	0.00251465	0.217239	0.18253	70	42624	39	1.94557e+07	1.82701e+07	2.06124e+06	4674.02	17.16	1.94318	1.63237	43382	420366	-1	35853	22	12390	78007	3657613	436804	6.42606	nan	-61.7858	-6.42606	0	0	2.57454e+06	5837.96	0.65	0.73	0.22	-1	-1	0.65	0.259384	0.235339	
k6_N10_40nm_1.xml	ex1010.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	23.87	vpr	84.91 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339	10	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	86948	10	10	3103	3113	0	1500	359	21	21	441	clb	auto	48.0 MiB	0.94	24671	73034	19608	51323	2103	84.9 MiB	0.89	0.01	5.99013	-56.5153	-5.99013	nan	0.92	0.00319877	0.00254919	0.218475	0.183474	70	42624	39	1.94557e+07	1.82701e+07	2.06124e+06	4674.02	17.09	1.90938	1.61518	43382	420366	-1	35853	22	12390	78007	3657613	436804	6.42606	nan	-61.7858	-6.42606	0	0	2.57454e+06	5837.96	0.65	0.74	0.22	-1	-1	0.65	0.261595	0.237337	
k6_N10_40nm_1.xml	frisc.blif	common	19.61	vpr	86.05 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	306	20	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88116	20	116	3834	3950	1	1632	442	20	20	400	clb	auto	48.9 MiB	0.91	24761	114886	32286	75595	7005	86.1 MiB	1.10	0.02	7.75917	-3904.43	-7.75917	7.75917	0.82	0.00338033	0.00263811	0.266144	0.218919	78	40115	37	1.74617e+07	1.64916e+07	2.00674e+06	5016.85	12.97	1.52908	1.28176	41300	418538	-1	34767	25	11401	59351	3015677	395052	8.66418	8.66418	-4467.27	-8.66418	0	0	2.53133e+06	6328.34	0.63	0.64	0.23	-1	-1	0.63	0.283621	0.255384	
k6_N10_40nm_1.xml	frisc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	19.59	vpr	86.06 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	306	20	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88124	20	116	3834	3950	1	1632	442	20	20	400	clb	auto	48.9 MiB	0.91	24761	114886	32286	75595	7005	86.1 MiB	1.11	0.02	7.75917	-3904.43	-7.75917	7.75917	0.82	0.00346568	0.0026938	0.27224	0.223667	78	40115	37	1.74617e+07	1.64916e+07	2.00674e+06	5016.85	12.93	1.56535	1.30831	41300	418538	-1	34767	25	11401	59351	3015677	395052	8.66418	8.66418	-4467.27	-8.66418	0	0	2.53133e+06	6328.34	0.63	0.64	0.23	-1	-1	0.63	0.281666	0.253745	
k6_N10_40nm_1.xml	pdc.blif	common	23.72	vpr	90.89 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	385	16	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	93072	16	40	3645	3685	0	1856	441	22	22	484	clb	auto	54.4 MiB	1.03	26156	101121	27198	69968	3955	90.9 MiB	1.14	0.02	6.12452	-209.091	-6.12452	nan	1.02	0.00383405	0.00308074	0.276089	0.231302	66	41907	39	2.15576e+07	2.07492e+07	2.17038e+06	4484.25	16.06	2.38058	2.00237	46208	437816	-1	36693	22	14394	78179	3275912	436766	6.59962	nan	-230.955	-6.59962	0	0	2.67842e+06	5533.94	0.69	0.78	0.23	-1	-1	0.69	0.319767	0.289261	
k6_N10_40nm_1.xml	pdc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	24.07	vpr	90.99 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	385	16	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	93176	16	40	3645	3685	0	1856	441	22	22	484	clb	auto	54.1 MiB	1.05	26156	101121	27198	69968	3955	91.0 MiB	1.20	0.02	6.12452	-209.091	-6.12452	nan	1.03	0.00408898	0.0033185	0.307913	0.261264	66	41907	39	2.15576e+07	2.07492e+07	2.17038e+06	4484.25	16.30	2.5431	2.14938	46208	437816	-1	36693	22	14394	78179	3275912	436766	6.59962	nan	-230.955	-6.59962	0	0	2.67842e+06	5533.94	0.69	0.79	0.23	-1	-1	0.69	0.319812	0.290073	
